2026-04-22 08:08:12,129 | INFO | Admin login success user_id=1
2026-04-22 08:08:12,311 | INFO | User status changed by admin admin_id=1 user_id=2 status=active
2026-04-22 08:08:12,801 | INFO | Login success user_id=2 role=sales
2026-04-22 08:08:14,447 | INFO | Admin login success user_id=1
2026-04-22 08:08:15,143 | INFO | User created by admin admin_id=1 new_user_id=2 role=accountant username='acct1'
2026-04-22 08:08:16,832 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:16,926 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 08:08:19,299 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:19,363 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 08:08:19,367 | INFO | User logout user_id=1
2026-04-22 08:08:19,898 | INFO | Login success user_id=2 role=manager
2026-04-22 08:08:19,962 | INFO | Fuel record reviewed record_id=1 status=approved reviewed_by=2
2026-04-22 08:08:22,185 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:22,267 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 08:08:22,279 | WARNING | Forbidden: role='sales' required=['manager'] user_id=1 path=/api/fuel/records/1/review
2026-04-22 08:08:25,084 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:25,147 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 08:08:25,150 | INFO | User logout user_id=1
2026-04-22 08:08:25,763 | INFO | Login success user_id=2 role=manager
2026-04-22 08:08:27,625 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:27,917 | INFO | Fuel sale recorded sale_id=1 salesperson_id=1 fuel_type='Petrol' quantity=10.5 list_price=2.5
2026-04-22 08:08:30,411 | INFO | Login success user_id=1 role=manager
2026-04-22 08:08:33,279 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:35,566 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:35,619 | INFO | Fuel sale recorded sale_id=1 salesperson_id=1 fuel_type='Petrol' quantity=10.5 list_price=9.99
2026-04-22 08:08:37,353 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:37,443 | WARNING | Unauthorized admin area access attempt user_id=1 role=sales path=/admin/retail_prices
2026-04-22 08:08:39,679 | INFO | Admin login success user_id=1
2026-04-22 08:08:39,776 | INFO | Admin updated retail selling prices admin_id=1 fuels=['Diesel', 'Petrol']
2026-04-22 08:08:39,780 | INFO | User logout user_id=1
2026-04-22 08:08:40,285 | INFO | Login success user_id=2 role=sales
2026-04-22 08:08:40,368 | INFO | Fuel sale recorded sale_id=1 salesperson_id=2 fuel_type='Petrol' quantity=2.0 list_price=4.0
2026-04-22 08:08:42,167 | INFO | Login success user_id=1 role=manager
2026-04-22 08:08:44,732 | INFO | Login success user_id=1 role=manager
2026-04-22 08:08:46,344 | INFO | Login success user_id=1 role=manager
2026-04-22 08:08:49,101 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:49,167 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 08:08:49,169 | INFO | User logout user_id=1
2026-04-22 08:08:49,895 | INFO | Login success user_id=2 role=manager
2026-04-22 08:08:50,059 | INFO | Manager approved operational request request_id=1 manager_id=2
2026-04-22 08:08:50,701 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:53,648 | INFO | Failed staff login attempt username='sales1'
2026-04-22 08:08:55,454 | INFO | Failed staff login attempt username='sales1'
2026-04-22 08:08:56,316 | INFO | Failed staff login attempt username='sales1'
2026-04-22 08:08:57,016 | INFO | Failed staff login attempt username='sales1'
2026-04-22 08:08:57,633 | INFO | Failed staff login attempt username='sales1'
2026-04-22 08:08:57,660 | WARNING | Locked staff login attempt username='sales1'
2026-04-22 08:09:06,700 | INFO | Login success user_id=1 role=manager
2026-04-22 08:09:08,343 | INFO | Admin login success user_id=1
2026-04-22 08:09:10,014 | WARNING | CSRF validation failed path=/admin/login reason=The CSRF token is missing.
2026-04-22 08:11:43,748 | INFO | Admin login success user_id=3
2026-04-22 08:11:59,296 | INFO | User logout user_id=3
2026-04-22 08:12:07,584 | INFO | Login success user_id=4 role=accountant
2026-04-22 08:12:44,466 | WARNING | CSRF validation failed path=/login/manager reason=The CSRF tokens do not match.
2026-04-22 08:12:49,675 | INFO | User logout user_id=4
2026-04-22 08:12:59,927 | INFO | Login success user_id=6 role=manager
2026-04-22 08:13:26,796 | INFO | User logout user_id=6
2026-04-22 08:13:31,658 | INFO | Login success user_id=5 role=sales
2026-04-22 15:04:25,960 | INFO | Login success user_id=5 role=sales
2026-04-22 15:05:10,151 | INFO | Fuel sale recorded sale_id=3 salesperson_id=5 fuel_type='Petrol' quantity=10.0 list_price=27.15
2026-04-22 15:05:57,657 | INFO | User logout user_id=5
2026-04-22 15:06:06,814 | INFO | Login success user_id=6 role=manager
2026-04-22 15:07:01,229 | INFO | Admin login success user_id=3
2026-04-22 15:09:40,511 | INFO | User status changed by admin admin_id=3 user_id=5 status=inactive
2026-04-22 15:09:56,226 | INFO | User status changed by admin admin_id=3 user_id=5 status=active
2026-04-22 15:10:07,266 | INFO | User status changed by admin admin_id=3 user_id=5 status=inactive
2026-04-22 15:10:48,797 | WARNING | CSRF validation failed path=/logout reason=The CSRF tokens do not match.
2026-04-22 15:10:52,886 | INFO | User logout user_id=3
2026-04-22 15:11:00,283 | INFO | Disabled account login attempt username='jeff-_-simz'
2026-04-22 15:11:14,179 | WARNING | CSRF validation failed path=/admin/users/5/toggle_status reason=The CSRF tokens do not match.
2026-04-22 15:12:05,582 | INFO | Admin login success user_id=3
2026-04-22 15:12:13,587 | INFO | User status changed by admin admin_id=3 user_id=5 status=active
